Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
sfs,12,chi2,exclude,5000,100,combined,0.706,0.998988634913,163.0,"[26555, 20429, 23248, 19041, 17529, 5600, 9916, 12426, 16392, 7189, 21818, 16015]"
ea,13,chi2,exclude,5000,100,combined,0.755,1.0,120.7,"[7189, 19041, 21818, 17391, 15916, 18736, 13130, 25645, 14258, 11495, 7095, 17660, 2659]"
sfs,13,chi2,exclude,5000,100,combined,0.718,1.0,175.51,"[26555, 20429, 23248, 21818, 20945, 21710, 275, 14258, 20429, 21710, 7189, 3542, 2028]"
ea,14,chi2,exclude,5000,100,combined,0.753,0.996966524273,125.98,"[21818, 3935, 4750, 17391, 18736, 6245, 1852, 15619, 11200, 23379, 23248, 275, 11144, 26494]"
sfs,14,chi2,exclude,5000,100,combined,0.709,1.0,188.83,"[26555, 20429, 23248, 19041, 17529, 11536, 6245, 5600, 25447, 20429, 7189, 15323, 15619, 8059]"
relief,3,chi2,exclude,5000,,,0.707,1.0,37.56,"[26555, 2028, 7189]"
relief,4,chi2,exclude,5000,,,0.712,1.0,39.77,"[26555, 2028, 7189, 27492]"
relief,5,chi2,exclude,5000,,,0.714,0.998988634913,40.97,"[26555, 2028, 7189, 27492, 19041]"
relief,6,chi2,exclude,5000,,,0.715,1.0,43.47,"[26555, 2028, 7189, 27492, 19041, 17725]"
relief,7,chi2,exclude,5000,,,0.72,1.0,45.49,"[26555, 2028, 7189, 19041, 27492, 17725, 16519]"
relief,8,chi2,exclude,5000,,,0.719,0.998988634913,45.62,"[26555, 2028, 7189, 19041, 27492, 17725, 16519, 29648]"
relief,9,chi2,exclude,5000,,,0.723,1.0,47.87,"[26555, 2028, 7189, 27492, 19041, 17725, 16519, 29648, 11536]"
relief,10,chi2,exclude,5000,,,0.723,0.998989254448,48.76,"[26555, 2028, 7189, 27492, 19041, 17725, 16519, 29648, 11536, 14006]"
relief,11,chi2,exclude,5000,,,0.725,0.998989254448,50.79,"[26555, 2028, 7189, 27492, 19041, 17725, 16519, 29648, 11536, 14006, 6179]"
relief,12,chi2,exclude,5000,,,0.725,0.998989254448,52.33,"[26555, 7189, 2028, 27492, 19041, 16519, 17725, 29648, 11536, 14006, 6179, 8059]"
relief,13,chi2,exclude,5000,,,0.721,1.0,54.38,"[26555, 2028, 7189, 27492, 19041, 17725, 16519, 29648, 11536, 14006, 6179, 8059, 5598]"
relief,14,chi2,exclude,5000,,,0.721,0.99797788936,57.34,"[26555, 2028, 7189, 27492, 19041, 17725, 16519, 29648, 11536, 14006, 6179, 8059, 5598, 21818]"
