Method,K,Statistic,Normalization,Exclude,Preselect,Fitness_method,Fitness_score,Sick_F1,Time,Features
sfs,10,chi2,exclude,5000,50,distance,0.586,0.97780620066,0.99,"[4126, 32652, 232, 12832, 12155, 7818, 3131, 31824, 24751, 9043]"
sfs,10,chi2,exclude,5000,100,combined,0.667,0.974912409032,32.72,"[4126, 590, 8822, 8393, 14530, 26238, 31824, 16675, 31127, 593]"
sfs,10,chi2,exclude,5000,100,classification,0.666,0.975881589917,20.06,"[4126, 590, 8822, 8393, 31824, 14530, 31127, 26238, 16675, 12527]"
sfs,10,chi2,exclude,5000,100,clustering,0.622,0.983607441832,11.97,"[4126, 12832, 4187, 12155, 26238, 8053, 14033, 12336, 1472, 27318]"
sfs,10,chi2,exclude,5000,100,distance,0.554,0.988416485095,1.63,"[4126, 12055, 32652, 232, 15018, 12832, 26238, 6872, 12155, 6697]"
sfs,10,chi2,exclude,5000,500,combined,0.661,0.977817084674,167.85,"[4126, 7397, 10124, 6959, 1068, 33345, 21964, 1244, 14315, 593]"
sfs,10,chi2,exclude,5000,500,classification,0.664,0.971070884489,98.97,"[4126, 7397, 10124, 6959, 12812, 16336, 27318, 33345, 8822, 14422]"
sfs,10,chi2,exclude,5000,500,clustering,0.633,0.981681494883,60.5,"[4126, 12832, 4187, 12155, 6959, 26513, 23705, 13978, 26238, 7273]"
sfs,10,chi2,exclude,5000,500,distance,0.579,0.9787735148,6.86,"[4126, 35492, 33374, 18435, 7818, 29143, 9043, 28262, 30363, 3131]"
ea,20,chi2,exclude,5000,10,combined,0.639,0.910340076744,140.74,"[4126, 15249]"
ea,20,chi2,exclude,5000,10,classification,0.627,0.967203216098,85.93,"[617, 3349, 3131]"
ea,20,chi2,exclude,5000,10,clustering,0.641,0.874559039283,52.98,[4187]
ea,20,chi2,exclude,5000,10,distance,0.611,0.898714801954,4.56,[617]
ea,20,chi2,exclude,5000,50,combined,0.64,0.976848572369,181.97,"[4126, 5632, 15737, 590, 31824, 7818, 8822, 14530, 232, 6982, 23252, 12527, 12155, 6047, 14229, 18025]"
ea,20,chi2,exclude,5000,50,classification,0.642,0.97587908449,145.18,"[15737, 16583, 1472, 31127, 31824, 10600, 7818, 8822, 14530, 232, 14033, 6982, 18152, 12527, 27284, 18025]"
ea,20,chi2,exclude,5000,50,clustering,0.629,0.976836102484,53.36,"[4126, 4187, 12832, 31156, 8053, 8822, 14530, 12155]"
ea,20,chi2,exclude,5000,50,distance,0.576,0.975896381222,5.59,"[25947, 10981, 1472, 3452, 14530, 20935, 33237, 14033, 6982, 23252, 14229]"
ea,20,chi2,exclude,5000,100,combined,0.622,0.982628888142,61.59,"[4187, 15249, 3349, 15737, 8053, 31824, 8822, 21125, 232, 6982, 35798, 18025, 28757, 17993, 4101, 8393, 593, 27794, 18151, 18873]"
ea,20,chi2,exclude,5000,100,classification,0.615,0.978780424638,48.41,"[4126, 15737, 31156, 7818, 14530, 6982, 18152, 18164, 27209, 17993, 27318, 26813, 22576, 8393, 16675, 9729, 593, 6697, 15471]"
ea,20,chi2,exclude,5000,100,clustering,0.594,0.978742651957,28.36,"[4187, 12832, 31156, 8053, 6982, 12155, 14229, 28757, 27318, 4101, 16675]"
ea,20,chi2,exclude,5000,100,distance,0.565,0.983596030026,2.56,"[617, 3349, 25947, 1472, 31156, 590, 20935, 9215, 14229, 18025, 18142, 17993, 22279, 27318, 16675, 27794, 15471, 12336]"
ea,20,chi2,exclude,5000,500,combined,0.582,0.976833815896,18.95,"[27284, 28757, 11682, 19468, 18030, 438, 11138, 295, 5307, 17996, 15365, 12798, 11659, 29193, 32763, 7561, 15797, 30363]"
ea,20,chi2,exclude,5000,500,classification,0.573,0.976862782195,14.09,"[12832, 9043, 16675, 15018, 15504, 5433, 21964, 33417, 18160, 19737, 7413, 6496, 17738, 6268, 16791, 9932, 20352, 12695, 35581, 27901]"
ea,20,chi2,exclude,5000,500,clustering,0.567,0.981659690476,5.4,"[4126, 5632, 15249, 12832, 27284, 27318, 6697, 518, 1832, 3278, 5363, 30800, 35492, 14956, 17328, 27677, 25706, 1738]"
ea,20,chi2,exclude,5000,500,distance,0.534,0.978779823545,1.77,"[5933, 6047, 27318, 12210, 3640, 13351, 12051, 8510, 6943, 18129, 8533, 17439, 11659, 164, 4952, 5068, 7379, 4694, 13229, 33345]"
sfs,20,chi2,exclude,5000,10,combined,0.56,0.981677598979,2.03,"[4126, 15249, 3349, 5632, 25947, 4187, 15737, 3131, 617, 5933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sfs,20,chi2,exclude,5000,10,classification,0.558,0.980703919268,1.32,"[4126, 15249, 5933, 3349, 5632, 4187, 3131, 617, 15737, 25947, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sfs,20,chi2,exclude,5000,10,clustering,0.56,0.984558400507,0.98,"[4126, 4187, 25947, 3349, 15249, 5933, 617, 3131, 5632, 15737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sfs,20,chi2,exclude,5000,10,distance,0.556,0.982625482171,0.45,"[4126, 3131, 4187, 5632, 15737, 3349, 5933, 25947, 15249, 617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sfs,20,chi2,exclude,5000,50,combined,0.636,0.985527251442,32.99,"[4126, 590, 8822, 14530, 12527, 16583, 31824, 12832, 7818, 4187, 15249, 14229, 232, 3349, 35798, 10981, 14033, 1472, 31127, 27284]"
sfs,20,chi2,exclude,5000,50,classification,0.625,0.973945338158,23.95,"[4126, 590, 8822, 27284, 31824, 10981, 14530, 16583, 14229, 15249, 12155, 31127, 12527, 4187, 3349, 10600, 5632, 12452, 232, 1472]"
sfs,20,chi2,exclude,5000,50,clustering,0.6,0.980722090778,10.81,"[4126, 12832, 4187, 12155, 8053, 14033, 1472, 14530, 27284, 590, 31156, 14229, 10600, 31824, 8822, 24751, 25947, 3349, 10981, 23252]"
sfs,20,chi2,exclude,5000,50,distance,0.571,0.980682071155,1.76,"[4126, 32652, 232, 12832, 12155, 7818, 3131, 31824, 24751, 9043, 15547, 5632, 4187, 10600, 15737, 22675, 9215, 590, 14229, 3452]"
sfs,20,chi2,exclude,5000,100,combined,0.659,0.970068792976,78.2,"[4126, 590, 16675, 8822, 8393, 12155, 5368, 26238, 27284, 4101, 11682, 12527, 17522, 27318, 26813, 16583, 18769, 232, 593, 31127]"
sfs,20,chi2,exclude,5000,100,classification,0.644,0.972070073824,51.96,"[4126, 590, 8822, 8393, 11682, 12527, 14530, 26238, 593, 5368, 16675, 5632, 19239, 31824, 27318, 26813, 11444, 16583, 18769, 14229]"
sfs,20,chi2,exclude,5000,100,clustering,0.607,0.98072099512,23.93,"[4126, 12832, 4187, 12155, 26238, 8053, 14033, 12336, 1472, 27318, 14530, 27284, 590, 19239, 4101, 31156, 14229, 17522, 593, 27794]"
sfs,20,chi2,exclude,5000,100,distance,0.556,0.99034210267,3.53,"[4126, 12055, 32652, 232, 15018, 12832, 26238, 6872, 12155, 6697, 11444, 7818, 3131, 31824, 24751, 9043, 15547, 5632, 4187, 28757]"
sfs,20,chi2,exclude,5000,500,combined,0.658,0.975883995731,419.54,"[4126, 26513, 26238, 5847, 5363, 27318, 12677, 6959, 21964, 15732, 7413, 15249, 5294, 29756, 10124, 13978, 33345, 6496, 14530, 1244]"
sfs,20,chi2,exclude,5000,500,classification,0.661,0.975895560882,276.3,"[4126, 7397, 10124, 12336, 8065, 31293, 14973, 16675, 5847, 29756, 593, 33345, 233, 5294, 19468, 14315, 12527, 1068, 13494, 1244]"
sfs,20,chi2,exclude,5000,500,clustering,0.625,0.984570024178,128.0,"[4126, 12832, 4187, 12155, 6959, 26513, 23705, 13978, 26238, 7273, 15028, 8053, 13494, 518, 29708, 7397, 31914, 6059, 29581, 14033]"
sfs,20,chi2,exclude,5000,500,distance,0.575,0.964263769411,17.66,"[4126, 35492, 33374, 18435, 7818, 29143, 9043, 28262, 30363, 3131, 24751, 20726, 34884, 6268, 15885, 31293, 31824, 17378, 27209, 14960]"
